text,label
"Crooked Hillary Clinton was not at all loyal to the person in her rigged system that pushed her over the top, DWS. Too bad Bernie flamed out",Hillary
"The @ CNN panels are so one sided, almost all against Trump. @ FoxNews is so much better and the ratings are much higher. Don't watch CNN!",Fake News
"Sorry folks, but Bernie Sanders is exhausted, just can't go on any longer. He is trying to dismiss the new e-mails and DNC disrespect. SAD!",Democrats
"There is no longer a Bernie Sanders ""political revolution."" He is turning out to be a weak and somewhat pathetic figure,wants it all to end!",Democrats
An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.,Democrats
"Looks like the Bernie people will fight. If not, their BLOOD, SWEAT AND TEARS was a total waste of time. Kaine stands for opposite!",Democrats
"Wow, President Obama's brother, Malik, just announced that he is voting for me. Was probably treated badly by president-like everybody else!",Obama
"Bernie Sanders started off strong, but with the selection of Kaine for V.P., is ending really weak. So much for a movement! TOTAL DISRESPECT",Trump Attack
The Crooked Hillary V.P. choice is VERY disrespectful to Bernie Sanders and all of his supporters. Just another case of BAD JUDGEMENT by H!,Hillary
# MakeAmericaGreatAgain # TrumpPence16pic.twitter.com/gCzHX1nyxD,Campaign
I was at @ FoxNews and met Juan Williams in passing. He asked if he could have pictures taken with me. I said fine. He then trashes on air!,Fox News
"Hard to believe that Bernie Sanders has done such a complete fold. He got NOTHING for all of the time, energy and money. The V.P. a joke!",Trump Attack
"While Bernie has totally given up on his fight for the people, we welcome all voters who want a better future for our workers.",Campaign
"Clinton betrayed Bernie voters. Kaine supports TPP, is in pocket of Wall Street, and backed Iraq War.",Hillary
Thank you OHIO! # TrumpPence16 https://www.facebook.com/DonaldTrump/posts/10157370239030725:0 …pic.twitter.com/WPMBkYjuIm,Campaign
"Thank you Roanoke, Virginia- be back soon! # TrumpPence16 https://www.facebook.com/DonaldTrump/posts/10157370422355725:0 …pic.twitter.com/HwqI2iGPDu",Campaign
MAKE AMERICA SAFE AND GREAT AGAIN! # TrumpPence16 https://www.facebook.com/DonaldTrump/posts/10157369699375725:0 …pic.twitter.com/cptBaZbV1v,Campaign
# MakeAmericaGreatAgain https://www.facebook.com/DonaldTrump/posts/10157368945620725:0 …pic.twitter.com/3ji7a14GSw,Campaign
"Great POLL numbers are coming out all over. People don't want another four years of Obama, and Crooked Hillary would be even worse. # MAGA",Hillary
The State of Florida is so embarrassed by the antics of Crooked Hillary Clinton and Debbie Wasserman Schultz that they will vote for CHANGE!,Hillary
"Here we go again with another Clinton scandal, and e-mails yet (can you believe). Crooked Hillary knew the fix was in, B never had a chance!",Hillary
"Crooked Hillary Clinton knew everything that her ""servant"" was doing at the DNC - they just got caught, that's all! They laughed at Bernie.",Hillary
"If Bernie Sanders, after seeing the just released e-mails, continues to look exhausted and done, then his legacy will never be the same.",Trump Attack
Thank you! # MakeAmericaGreatAgainpic.twitter.com/Pzs9uwgzam,Campaign
Hillary was involved in the e-mail scandal because she is the only one with judgement so bad that such a thing could have happened!,Hillary
"How much BAD JUDGEMENT was on display by the people in DNC in writing those really dumb e-mails, using even religion, against Bernie!",Democrats
"The new joke in town is that Russia leaked the disastrous DNC e-mails, which should never have been written (stupid), because Putin likes me",Democrats
"In order to try and deflect the horror and stupidity of the Wikileakes disaster, the Dems said maybe it is Russia dealing with Trump. Crazy!",Democrats
Dems don't want to talk ISIS b/c Hillary's foreign interventions unleashed ISIS & her refugee plans make it easier for them to come here.,Democrats
"Bernie's exhausted, he just wants to shut down and go home to bed!",Trump Attack
The invention of email has proven to be a very bad thing for Crooked Hillary in that it has proven her to be both incompetent and a liar!,Hillary
Thank you New Hampshire! # MakeAmericaGreatAgainpic.twitter.com/KRCdV77BQp,Campaign
"Join us in Toledo, Ohio- tomorrow night at 8pm! # TrumpPence16 # MAGA Tickets: http://bit.ly/2aetvp7TrumpPenceOH …pic.twitter.com/zmGZauCnQF",Campaign
"Join us tomorrow in Scranton, Pennsylvania at 3pm! # TrumpPence16 # MAGA Tickets: http://bit.ly/2aetcdrTrumpPencePA …pic.twitter.com/7zMKhhMmhp",Campaign
"Why aren't the Democrats speaking about ISIS, bad trade deals, broken borders, police and law and order. The Republican Convention was great",Democrats
"Funny, if you listen to @ FoxNews, the Democrats did not have a good day. If you listen to the other two, they are fawning. What a difference",Fox News
"Bernie Sanders totally sold out to Crooked Hillary Clinton. All of that work, energy and money, and nothing to show for it! Waste of time.",Hillary
"Elizabeth Warren, often referred to as Pocahontas, just misrepresented me and spoke glowingly about Crooked Hillary, who she always hated!",Hillary
Sad to watch Bernie Sanders abandon his revolution. We welcome all voters who want to fix our rigged system and bring back our jobs.,Campaign
"If Cory Booker is the future of the Democratic Party, they have no future! I know more about Cory than he knows about himself.",Democrats
# CrookedHillarypic.twitter.com/lwi9gqDEHE,Hillary
Thank you Pennsylvania! # MakeAmericaGreatAgain https://www.facebook.com/DonaldTrump/posts/10157382674030725:0 …pic.twitter.com/bbroAGTdMw,Campaign
Thank you to our amazing law enforcement officers! # MAGApic.twitter.com/UEZorOQhTw,Campaign
"""Trump right: Illegal families crossing border set to double, 51,152 so far""http://bit.ly/2aeaiwaTrumpPence16 …",Campaign
Great new poll - thank you! # MakeAmericaGreatAgainpic.twitter.com/mXovx0TLPC,Campaign
"If Russia or any other country or person has Hillary Clinton's 33,000 illegally deleted emails, perhaps they should share them with the FBI!",Hillary
"Join our next Vice President, @ Mike_Pence in Wisconsin tonight & Michigan Thursday! MI: https://www.donaldjtrump.com/schedule/register/waukesha-wi/ … WI: https://www.donaldjtrump.com/schedule/register/grand-rapids-mi1/ …",Campaign
Not one American flag on the massive stage at the Democratic National Convention until people started complaining-then a small one. Pathetic,Democrats
"Our not very bright Vice President, Joe Biden, just stated that I wanted to ""carpet bomb"" the enemy. Sorry Joe, that was Ted Cruz!",Trump Attack
Crooked Hillary Clinton wants to flood our country with Syrian immigrants that we know little or nothing about. The danger is massive. NO!,Hillary
The Democratic Convention has paid ZERO respect to the great police and law enforcement professionals of our country. No recognition - SAD!,Democrats
"Funny how the failing @ nytimes is pushing Dems narrative that Russia is working for me because Putin said ""Trump is a genius."" America 1st!",Fake News
"As I have been saying, Crooked Hillary will approve the job killing TPP after the election, despite her statements to the contrary: top adv.",Hillary
"Just like I have warned from the beginning, Crooked Hillary Clinton will betray you on the TPP.http://www.politico.com/story/2016/07/terry-mcauliffe-hillary-clinton-tpp-trade-226253 …",Hillary
Many of Bernie's supporters have left the arena. Did Bernie go home and go to sleep?,Trump Attack
"I hate to say it, but the Republican Convention was far more interesting (with a much more beautiful set) than the Democratic Convention!",Democrats
"No matter what Bill Clinton says and no matter how well he says it, the phony media will exclaim it to be incredible. Highly overrated!",Fake News
"You have no idea what my strategy on ISIS is, and neither does ISIS (a good thing). Please get your facts straight - thanks. @ megynkelly",Campaign
# CrookedHillarypic.twitter.com/JeXFnO6e3s,Hillary
"""Dems warn not to underestimate Trump's potential win""http://nypost.com/2016/07/25/dems-warn-not-to-underestimate-trumps-potential-to-win/ …",Democrats
Great to be back in Iowa! # TBT with @ JerryJrFalwell joining me in Davenport- this past winter. # MAGApic.twitter.com/A5IF0QHnic,Campaign
Median household income is down for the middle class since Obama took office. It will only go further down under Clinton.,Obama
"A vote for Clinton-Kaine is a vote for TPP, NAFTA, high taxes, radical regulation, and massive influx of refugees.",Hillary
Bernie caved! https://www.instagram.com/p/BIalBvcjIQQ/,Trump Attack
""" @ LallyRay: Poll: Donald Trump Sees 17-Point Positive Swing in Two Weeks - Breitbart http://www.breitbart.com/2016-presidential-race/2016/07/28/poll-trump-gains-17-point-swing-two-weeks-clinton/ … @ realdonaldtrump"" Great!",Campaign
President Obama spoke last night about a world that doesn’t exist. 70% of the people think our country is going in the wrong direction. # DNC,Obama
"Join me live in Toledo, Ohio! # MakeAmericaGreatAgainhttp://youtu.be/vcb_VzvM3Vw",Campaign
Thank you Colorado Springs. Get out & VOTE # TrumpPence16 in November!pic.twitter.com/wK02fWzJey,Campaign
"Even Bill is tired of the lies, SAD! https://www.instagram.com/p/BIdHmRbjEp0/",Hillary
Join me in Colorado Springs at 2pm- or in Denver tonight at 7pm! Colorado Springs: https://www.donaldjtrump.com/schedule/register/colorado-springs-co/ … Denver: https://www.donaldjtrump.com/schedule/register/denver-co1/ …,Campaign
What Bernie Sanders really thinks of Crooked Hillary Clinton.pic.twitter.com/VgMaAsZBep,Hillary
"I am watching Crooked Hillary speak. Same old stuff, our country needs change!",Hillary
"Wow, my campaign is hearing from more and more Bernie supporters that they will NEVER support Crooked Hillary. She sold them out, V.P. pick!",Hillary
In Hillary Clinton's America - things get worse. # TrumpPence16pic.twitter.com/WdHbnhhCbW,Hillary
The dishonest media didn't mention that Bernie Sanders was very angry looking during Crooked's speech. He wishes he didn't make that deal!,Fake News
Thank you! Facebook: https://www.facebook.com/DonaldTrump/posts/10157391232965725:0 … Instagram: https://instagram.com/p/BIc8Oz2DCCo/ pic.twitter.com/Pw7GS8R9Gg,Campaign
"Crooked Hillary said that I ""couldn't handle the rough and tumble of a political campaign."" Really,I just beat 16 people and am beating her!",Hillary
"If Michael Bloomberg ran again for Mayor of New York, he wouldn't get 10% of the vote - they would run him out of town! # NeverHillary",Trump Attack
"""Little"" Michael Bloomberg, who never had the guts to run for president, knows nothing about me. His last term as Mayor was a disaster!",Trump Attack
"General John Allen, who I never met but spoke against me last night, failed badly in his fight against ISIS. His record = BAD # NeverHillary",Hillary
Crooked Hillary Clinton mentioned me 22 times in her very long and very boring speech. Many of her statements were lies and fabrications!,Hillary
Join @ mike_pence at the University of Northwestern Ohio- tonight at 7pm. Tickets: https://www.donaldjtrump.com/schedule/register/lima-oh/ …,Campaign
CAMPAIGN STATEMENT: https://www.facebook.com/DonaldTrump/posts/10157391345450725 …,Campaign
"Crooked Hillary Clinton made up facts about me, and ""forgot"" to mention the many problems of our country, in her very average scream!",Hillary
The media coverage this morning of the very average Clinton speech and Convention is a joke. @ CNN and the little watched @ Morning_Joe = SAD!,Fake News
No one has worse judgement than Hillary Clinton - corruption and devastation follows her wherever she goes.,Hillary
"Hillary's wars in the Middle East have unleashed destruction, terrorism and ISIS across the world.",Hillary
"Hillary's vision is a borderless world where working people have no power, no jobs, no safety.",Hillary
Hillary will never reform Wall Street. She is owned by Wall Street!,Hillary
Our way of life is under threat by Radical Islam and Hillary Clinton cannot even bring herself to say the words.,Hillary
"Hillary's refusal to mention Radical Islam, as she pushes a 550% increase in refugees, is more proof that she is unfit to lead the country.",Hillary
"Departing now - thank you Cedar Rapids, Iowa. This is a MOVEMENT!pic.twitter.com/ezrqVqPtta",Campaign
Thank you to all of the television viewers that made my speech at the Republican National Convention #1 over Crooked Hillary and DEMS.,Campaign
Can you imagine if I had the small crowds that Hillary is drawing today in Pennsylvania. It would be a major media event! @ CNN @ FoxNews,Hillary
"The ""Rust Belt"" was created by politicians like the Clintons who allowed our jobs to be stolen from us by other countries like Mexico. END!",Hillary
"Crooked's stop in Johnstown, Pennsylvania, where jobs have been absolutely decimated by dumb politicians, drew less than 200 - with Bill, VP",Hillary
"# CrookedHillary = Obama's third term, which would be terrible news for our economic growth - seen below.pic.twitter.com/y9WJoUaaql",Hillary
Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?,Hillary
"I turned down a meeting with Charles and David Koch. Much better for them to meet with the puppets of politics, they will do much better!",Trump Attack
"Why doesn't the media want to report that on the two ""Big Thursdays"" when Crooked Hillary and I made our speeches - Republican's won ratings",Fake News
# CrookedHillarypic.twitter.com/xyoPFJmByp,Hillary
"Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!",Hillary
"Violent crime is rising across the United States, yet the DNC convention ignored it. Crime reduction will be one of my top priorities.",Democrats
Just got back from Colorado. The love and enthusiasm at two rallies was incredible. Big crowds!,Campaign
While I am in OH & PA - you can also join @ Mike_Pence in Nevada on Mon! Carson City: https://www.donaldjtrump.com/schedule/register/carson-city-nv/ … Reno: https://www.donaldjtrump.com/schedule/register/reno-nv1/ …,Campaign
"Join me Monday in Columbus, Ohio & Harrisburg, Pennsylvania! # MAGA 3pm in OH: https://www.donaldjtrump.com/schedule/register/columbus-oh1/ … 7pm in PA: https://www.donaldjtrump.com/schedule/register/harrisburg-pa1/ …",Campaign
American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs. WE will bring back the 'American Dream!'pic.twitter.com/yI4Q8FHRjp,Campaign
We are suffering through the worst long-term unemployment in the last 70 years. I want change - Crooked Hillary Clinton does not.,Hillary
"Hillary can never win over Bernie supporters. Her foreign wars, NAFTA/TPP support & Wall Street ties are driving away millions of votes.",Hillary
"Colorado was amazing yesterday! So much support. Our tax, trade and energy reforms will bring great jobs to Colorado and the whole country.",Campaign
""" @ patrioticpepe: @ realDonaldTrump ONLY TRUMP CAN UNITE AMERICA AND FIX OBAMA'S MISTAKES!!! # Trump2016 https://twitter.com/patrioticpepe/status/759021890107166721/photo/1pic.twitter.com/yB72Bm2muM """,Campaign
"Thank you Denver, Colorado! # MakeAmericaGreatAgain!pic.twitter.com/1KHrLdkOyW",Campaign
"As usual, Hillary & the Dems are trying to rig the debates so 2 are up against major NFL games. Same as last time w/ Bernie. Unacceptable!",Democrats
# CrookedHillary Job Applicationpic.twitter.com/CKXkAlGSiV,Hillary
Hillary Clinton should not be given national security briefings in that she is a lose cannon with extraordinarily bad judgement & insticts.,Hillary
Thank you to the amazing law enforcement officers in Colorado! # MakeAmericaGreatAgain # LESMpic.twitter.com/glxTQYAQiN,Campaign
""" @ RealJamesWoods: Without absolutely OWNING the liberal media, HillaryClinton wouldn't stand a chance. # VoterFraud and # MSM her only hope.""",Hillary
"The dishonest media is fawning over the Democratic Convention. I wonder why, then, my speech had millions of more viewers than Crooked H?",Fake News
"I was viciously attacked by Mr. Khan at the Democratic Convention. Am I not allowed to respond? Hillary voted for the Iraq war, not me!",Hillary
"Captain Khan, killed 12 years ago, was a hero, but this is about RADICAL ISLAMIC TERROR and the weakness of our ""leaders"" to eradicate it!",Trump Attack
Join me in Florida on Wednesday! Daytona & Jacksonville: Daytona | 3pm- https://www.donaldjtrump.com/schedule/register/daytona-beach-fl/ … Jacksonville | 7pm- https://www.donaldjtrump.com/schedule/register/jacksonville-fl/ …,Campaign
"During the GOP convention, CNN cut away from the victims of illegal immigrant violence. They don’t want them heard.http://www.breitbart.com/big-journalism/2016/07/19/republican-national-convention-cnn-victims-illegal-aliens/ …",Fake News
When will CNN do a segment on Hillary’s plan to increase Syrian refugees 550% and how much it will cost?,Fake News
Hillary Clinton raked in money from regimes that horribly oppress women and gays & refuses to speak out against Radical Islam.,Hillary
"Hillary, whose decisions have led to the deaths of many, accepted $ from a business linked to ISIS. Silence at CNN.http://www.thegatewaypundit.com/2016/08/wikileaks-hillary/ …",Hillary
Crooked Hillary Clinton is 100% owned by her donors. # ImWithYou # MAGApic.twitter.com/iYM3CCWS2z,Hillary
"Thank you Columbus, Ohio! I will be back soon. # ImWithYou # MAGApic.twitter.com/vMf1EPJp4r",Campaign
Thank you Oklahoma & Virginia! # MakeAmericaGreatAgain # ImWithYoupic.twitter.com/WUdY7feRvV,Campaign
People believe CNN these days almost as little as they believe Hillary....that's really saying something!,Fake News
"The people who support Hillary sit behind CNN anchor chairs, or headline fundraisers - those disconnected from real life.",Fake News
Will CNN send its cameras to the border to show the massive unreported crisis now unfolding -- or are they worried it will hurt Hillary?,Fake News
When will we see stories from CNN on Clinton Foundation corruption and Hillary's pay-for-play at State Department?,Fake News
"CNN anchors are completely out of touch with everyday people worried about rising crime, failing schools and vanishing jobs.",Fake News
CNN will soon be the least trusted name in news if they continue to be the press shop for Hillary Clinton.,Fake News
"Join Governor Mike Pence in Reno, Nevada- tonight at 7pm! Tickets available at: https://www.donaldjtrump.com/schedule/register/reno-nv1/ …",Campaign
# CrookedHillaryhttp://www.dailymail.co.uk/news/article-3718137/Hillary-Clinton-slapped-dreaded-Four-Pinocchios-rating-false-claim-FBI-director-said-told-truth-classified-emails.html …,Hillary
"So with all of the Obama tough talk on Russia and the Ukraine, they have already taken Crimea and continue to push. That's what I said!",Obama
"This story is not about Mr. Khan, who is all over the place doing interviews, but rather RADICAL ISLAMIC TERRORISM and the U.S. Get smart!",Trump Attack
"Wow, it is unbelievable how distorted, one-sided and biased the media is against us. The failing @ nytimes is a joke. @ CNN is laughable!",Fake News
Report raises questions about ‘Clinton Cash’ from Russians during ‘reset'http://nypost.com/2016/07/31/report-raises-questions-about-clinton-cash-from-russians-during-reset/ …,Hillary
President Obama will go down as perhaps the worst president in the history of the United States!,Obama
# CrookedHillarypic.twitter.com/xe0I0EmxMa,Hillary
Join me in Florida tomorrow! # MakeAmericaGreatAgain Daytona | 3pm- http://bit.ly/2apZfbvDAYTONA Jacksonville | 7pm- http://bit.ly/2aq0jQ3JACKSONVILLE …,Campaign
STATEMENT IN RESPONSE TO PRESIDENT OBAMA'S FAILED LEADERSHIP: http://bit.ly/2aNb6apDJTStatement …,Obama
Thank you Virginia! # ImWithYoupic.twitter.com/9inCh1BVwM,Campaign
The Washington Post calls out # CrookedHillary for what she REALLY is. A PATHOLOGICAL LIAR! Watch that nose grow!pic.twitter.com/FsrUGByuuD,Hillary
Great afternoon in Ohio & a great evening in Pennsylvania - departing now. See you tomorrow Virginia!pic.twitter.com/jQTQYBFpdb,Campaign
"Just leaving Mechanicsburg, PA. Incredible crowd-- so enthusiastic! Will be back soon. # MAGApic.twitter.com/RbuXfDZ5w9",Campaign
