state,startdate,enddate,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,poll_id
North Carolina,26-10-2016,28-10-2016,47.77576,44.78595,4.359501,47779
U.S.,27-10-2016,31-10-2016,44.50363,44.1804,5.160502,47934
U.S.,24-10-2016,30-10-2016,45.66489,40.41809,3.333669,47869
Missouri,23-10-2016,25-10-2016,38.42823,49.47709,4.308866,47615
New Hampshire,20-10-2016,24-10-2016,43.04313,38.24964,7.959227,47539
Pennsylvania,30-10-2016,30-10-2016,44.7114,41.14791,4.065788,47850
Ohio,30-10-2016,30-10-2016,42.7114,46.14791,4.065788,47849
North Carolina,30-10-2016,30-10-2016,44.7114,45.14791,3.065788,47848
Wisconsin,30-10-2016,30-10-2016,45.7114,40.14791,5.065788,47852
U.S.,24-10-2016,30-10-2016,46.38828,44.13978,,47882
North Carolina,20-10-2016,23-10-2016,45.74498,41.64333,6.137042,47325
New Mexico,24-10-2016,24-10-2016,43.73338,39.62985,9.695195,47612
Arizona,22-10-2016,24-10-2016,45.73579,46.35058,4.172206,47630
Virginia,30-10-2016,30-10-2016,46.7114,41.14791,4.065788,47868
Iowa,20-10-2016,26-10-2016,44.08772,44.58124,2.92435,47618
Virginia,28-10-2016,30-10-2016,48.63733,43.2056,2.953504,47877
Minnesota,22-10-2016,26-10-2016,47.3517,39.01773,5.062005,47712
U.S.,17-10-2016,18-10-2016,47.20443,41.15833,5.325565,47078
Texas,21-10-2016,22-10-2016,42.63636,46.87188,5.680246,47237
U.S.,20-10-2016,24-10-2016,46.95812,39.36292,4.31719,47530
Florida,20-10-2016,25-10-2016,43.94143,42.24168,4.507492,47549
Florida,30-10-2016,30-10-2016,43.7114,46.14791,3.065788,47846
Maine,28-10-2016,30-10-2016,45.63095,40.2258,4.953504,47879
Georgia,25-10-2016,31-10-2016,42.73449,45.10929,4.46675,47893
Nevada,20-10-2016,24-10-2016,41.09849,44.92952,7.959227,47540
New Hampshire,26-10-2016,30-10-2016,45.78382,40.53563,6.023805,47871
Texas,27-10-2016,29-10-2016,39.79761,50.76878,3.286923,47993
Pennsylvania,26-10-2016,30-10-2016,48.5308,39.71922,4.154008,47876
California,25-10-2016,31-10-2016,53.72084,29.1581,4.46675,47887
Florida,25-10-2016,26-10-2016,47.7879,47.02554,1.193952,47767
Colorado,30-10-2016,30-10-2016,44.7114,42.14791,5.065788,47845
U.S.,20-10-2016,21-10-2016,45.05301,41.09445,5.083591,47527
Florida,25-10-2016,31-10-2016,44.72326,44.14946,2.46675,47892
Georgia,17-10-2016,20-10-2016,41.87008,46.25708,6.488977,47158
Florida,21-10-2016,22-10-2016,45.63017,43.90773,3.680246,47236
Georgia,25-10-2016,27-10-2016,41.7627,50.48988,2.624004,47785
U.S.,21-10-2016,24-10-2016,41.91822,36.25222,5.309163,47550
North Carolina,25-10-2016,26-10-2016,48.80125,46.96766,1.193952,47766
Virginia,20-10-2016,26-10-2016,50.11597,38.43544,2.92435,47620
Florida,25-10-2016,26-10-2016,46.88216,43.8345,,47637
Kentucky,26-10-2016,28-10-2016,31.80767,54.75208,,47792
Georgia,20-10-2016,26-10-2016,43.14038,44.30946,6.92435,47617
U.S.,20-10-2016,23-10-2016,47.83393,43.25948,1.689483,47314
Ohio,26-10-2016,27-10-2016,44.50785,43.74232,5.675094,47757
Vermont,24-10-2016,26-10-2016,50.66944,26.71407,4.715528,47640
Idaho,21-10-2016,23-10-2016,20.01258,49.56269,,47339
Texas,25-10-2016,31-10-2016,39.72546,46.14158,5.46675,47926
Pennsylvania,25-10-2016,31-10-2016,47.72671,40.13711,3.46675,47921
North Carolina,21-10-2016,22-10-2016,46.06748,44.81387,4.205119,47248
North Carolina,20-10-2016,26-10-2016,47.12807,43.37304,3.92435,47619
Virginia,25-10-2016,31-10-2016,46.72589,37.14005,5.46675,47929
South Carolina,25-10-2016,31-10-2016,41.73411,44.11066,3.46675,47923
New York,25-10-2016,31-10-2016,54.72102,32.15746,2.46675,47915
Ohio,25-10-2016,31-10-2016,38.72247,44.15226,6.46675,47918
Nevada,30-10-2016,30-10-2016,43.7114,46.14791,5.065788,47847
Maine,20-10-2016,25-10-2016,47.56355,39.87309,4.353873,47772
Michigan,25-10-2016,31-10-2016,41.72126,41.15661,5.46675,47905
U.S.,21-10-2016,24-10-2016,48.55824,39.86935,3.080554,47355
Virginia,23-10-2016,26-10-2016,46.95389,42.00444,2.96151,47634
North Carolina,25-10-2016,31-10-2016,45.73015,43.12482,4.46675,47916
Missouri,24-10-2016,26-10-2016,40.41095,47.89443,2.779283,47629
Colorado,25-10-2016,31-10-2016,41.7159,38.17576,8.466749,47888
U.S.,14-10-2016,16-10-2016,48.77353,39.80119,3.919255,46886
Missouri,28-10-2016,31-10-2016,36.86025,51.30836,4.681268,47996
Arizona,25-10-2016,31-10-2016,41.7199,43.16145,5.46675,47885
North Carolina,26-10-2016,27-10-2016,47.51965,43.6958,3.675094,47759
Kansas,25-10-2016,31-10-2016,34.71851,46.16644,9.466749,47899
Illinois,16-10-2016,18-10-2016,50.25616,36.88839,4.397091,47315
U.S.,22-10-2016,26-10-2016,44.18933,38.77402,6.157888,47638
U.S.,10-11-2016,14-10-2016,44.67489,37.15985,3.914717,47062
Indiana,27-10-2016,30-10-2016,37.82618,49.41636,4.597736,47857
Florida,22-10-2016,26-10-2016,48.54199,40.76155,3.507888,47639
Wisconsin,18-10-2016,19-10-2016,47.68439,38.00763,,47087
Wisconsin,25-10-2016,31-10-2016,42.7181,41.1679,4.46675,47932
Michigan,22-10-2016,24-10-2016,41.56248,36.47088,7.341999,47548
Florida,19-10-2016,19-10-2016,43.73679,44.8174,2.464277,47462
Utah,25-10-2016,31-10-2016,28.71826,32.16731,4.46675,47927
California,13-10-2016,15-10-2016,54.62292,31.15174,2.987635,46947
Nevada,20-10-2016,23-10-2016,46.53946,42.88154,5.218653,47318
Nevada,25-10-2016,25-10-2016,45.73999,46.2872,3.065412,47655
Minnesota,20-10-2016,22-10-2016,45.34961,40.75738,5.24644,47319
U.S.,10-09-2016,13-10-2016,46.0958,42.26845,4.313881,46871
U.S.,10-12-2016,18-10-2016,48.16418,41.12745,,47611
New Mexico,25-10-2016,31-10-2016,42.71827,33.16729,14.46675,47914
Iowa,25-10-2016,31-10-2016,38.71593,44.17565,7.46675,47898
Illinois,27-10-2016,30-10-2016,52.63655,39.20806,1.953504,47878
South Dakota,19-10-2016,21-10-2016,36.42294,48.26057,5.781412,47346
New Hampshire,17-10-2016,21-10-2016,42.63734,39.70905,8.322947,47326
Texas,22-10-2016,24-10-2016,37.42928,46.33903,5.412182,47529
Montana,10-10-2016,10-12-2016,34.81863,48.56234,9.360102,46870
Illinois,25-10-2016,31-10-2016,50.72356,34.14838,5.46675,47896
Washington,20-10-2016,22-10-2016,47.73112,34.26857,1.462773,47316
Illinois,26-10-2016,27-10-2016,45.58908,35.72532,5.544566,48000
Florida,25-10-2016,26-10-2016,42.44762,45.19785,,47621
Utah,20-10-2016,27-10-2016,22.92762,32.55424,3.448703,47781
Nevada,25-10-2016,31-10-2016,41.72206,41.15372,9.466749,47911
Nevada,26-10-2016,27-10-2016,43.50722,40.74479,2.675094,47760
Pennsylvania,10-07-2016,10-11-2016,48.28355,41.05856,3.782832,46776
North Carolina,23-10-2016,27-10-2016,41.81535,43.26671,1.942694,47937
Kentucky,25-10-2016,30-10-2016,35.92733,53.66605,1.450507,47938
New Hampshire,23-10-2016,25-10-2016,45.32554,42.72147,5.280114,47652
Arizona,29-10-2016,30-10-2016,41.64209,45.25915,3.15742,47994
Pennsylvania,25-10-2016,26-10-2016,47.47349,41.95567,5.535694,47654
Utah,23-10-2016,24-10-2016,28.19793,33.3695,3.388899,47525
Idaho,23-10-2016,24-10-2016,29.23481,49.49641,5.487112,47609
U.S.,10-12-2016,16-10-2016,46.996,40.40553,5.078035,46954
Massachusetts,24-10-2016,26-10-2016,56.55489,26.40688,4.828505,47614
North Carolina,14-10-2016,16-10-2016,44.57658,44.89416,5.056914,47057
Utah,10-12-2016,14-10-2016,19.80207,38.41128,6.448933,46866
Massachusetts,25-10-2016,31-10-2016,56.70058,28.23054,4.46675,47904
Florida,26-10-2016,27-10-2016,45.50905,43.73757,3.675094,47756
New Hampshire,22-10-2016,25-10-2016,44.51413,42.93306,6.924345,47528
New York,13-10-2016,17-10-2016,53.93544,33.55711,2.416225,47059
North Carolina,10-10-2016,15-10-2016,47.15092,46.90791,1.826469,46883
Maine,24-10-2016,26-10-2016,42.72583,38.54995,7.795682,47997
Louisiana,17-10-2016,19-10-2016,32.47404,55.76905,0.9115855,47155
Minnesota,25-10-2016,31-10-2016,44.71736,36.17055,6.46675,47906
Ohio,10-10-2016,15-10-2016,43.15221,48.09313,1.826469,46885
Nevada,10-12-2016,14-10-2016,45.94579,41.76702,3.817233,46867
Washington,25-10-2016,31-10-2016,51.71312,33.1857,4.46675,47930
Ohio,10-10-2016,10-12-2016,39.55144,44.7854,5.95136,46789
Oregon,25-10-2016,31-10-2016,49.7145,35.18075,4.46675,47920
Nevada,10-10-2016,10-11-2016,44.39855,42.71152,,46771
Maryland,25-10-2016,31-10-2016,61.7263,26.13856,3.46675,47903
U.S.,17-10-2016,20-10-2016,46.17953,40.65233,,47164
New Hampshire,26-10-2016,30-10-2016,46.41257,40.5204,6.015173,47863
Michigan,25-10-2016,26-10-2016,49.46292,42.00147,2.535694,47653
New Jersey,25-10-2016,31-10-2016,53.71919,34.16399,1.466749,47913
Wisconsin,10-06-2016,10-09-2016,44.16842,39.74128,5.795405,46767
Alaska,25-10-2016,27-10-2016,42.83489,45.38098,10.22262,47764
Utah,17-10-2016,19-10-2016,23.36361,27.11539,3.293923,47082
Florida,26-10-2016,30-10-2016,43.43343,48.44582,3.015173,47861
North Carolina,26-10-2016,30-10-2016,44.44033,46.42118,5.015173,47864
Nevada,26-10-2016,30-10-2016,43.43224,41.45008,9.015173,47862
Pennsylvania,26-10-2016,30-10-2016,44.43689,42.43347,5.015173,47866
Ohio,26-10-2016,30-10-2016,48.43265,41.44862,4.015173,47865
Michigan,30-10-2016,30-10-2016,45.62742,40.14295,6.293468,47870
Arizona,21-10-2016,24-10-2016,43.55069,46.90595,3.782474,47340
Georgia,20-10-2016,20-10-2016,41.76212,48.53924,4.528198,47169
Oregon,10-10-2016,10-12-2016,46.82027,39.37527,4.769864,46794
Pennsylvania,20-10-2016,26-10-2016,45.90595,41.96887,5.68949,47708
Wisconsin,13-10-2016,16-10-2016,46.69125,41.87598,0.6320456,47014
Texas,10-07-2016,15-10-2016,37.71614,44.2543,2.497429,47033
New Hampshire,25-10-2016,31-10-2016,46.70239,34.22404,7.46675,47912
Indiana,25-10-2016,31-10-2016,35.72667,50.13723,7.46675,47897
Mississippi,25-10-2016,31-10-2016,39.73907,47.09292,3.46675,47907
Texas,10-10-2016,10-12-2016,41.80464,48.10834,1.769864,46796
Nevada,10-10-2016,15-10-2016,45.15228,44.10296,4.826469,46884
Missouri,25-10-2016,31-10-2016,37.72542,45.14172,7.46675,47908
Idaho,25-10-2016,27-10-2016,33.84242,47.34836,8.222618,47763
Colorado,10-10-2016,16-10-2016,45.4276,38.65441,7.918934,46941
North Carolina,20-10-2016,23-10-2016,45.58205,46.91699,3.640071,47254
U.S.,10-12-2016,17-10-2016,48.35558,37.88814,,47064
Kansas,10-11-2016,15-10-2016,34.67553,48.25099,5.914717,47063
North Carolina,17-10-2016,18-10-2016,42.03075,44.76365,5.722593,47252
Wisconsin,27-10-2016,28-10-2016,47.56077,40.49327,8.808175,47758
Maine CD-1,28-10-2016,30-10-2016,48.42974,40.72964,4.153504,47935
Maine CD-2,28-10-2016,30-10-2016,43.2323,40.42152,6.253504,47936
Florida,17-10-2016,18-10-2016,45.01757,42.90788,3.722593,47250
Pennsylvania,10-10-2016,16-10-2016,47.42579,42.39354,3.918934,46944
Florida,10-10-2016,16-10-2016,48.42636,45.4769,1.918934,46942
Nevada,10-10-2016,10-11-2016,42.00261,44.26822,,46779
Nebraska CD-3,25-09-2016,26-09-2016,18.30412,62.62538,,46232
Nebraska CD-1,25-09-2016,26-09-2016,27.39836,50.6605,,46230
Georgia,17-10-2016,18-10-2016,44.03906,43.67281,5.722593,47251
U.S.,10-08-2016,13-10-2016,47.33188,41.35157,5.096575,46875
Vermont,19-10-2016,22-10-2016,49.32188,24.49771,5.744009,47338
U.S.,18-10-2016,23-10-2016,44.94901,41.99332,4.740836,47255
Maine CD-2,10-10-2016,10-11-2016,37.73638,40.26033,,47088
North Carolina,14-10-2016,17-10-2016,44.29618,44.81083,3.797497,47085
Colorado,10-12-2016,13-10-2016,44.01182,40.86651,4.791084,46862
Connecticut,25-10-2016,31-10-2016,49.71365,38.1838,2.46675,47889
Tennessee,25-10-2016,31-10-2016,36.72532,50.1421,3.46675,47925
Ohio,10-10-2016,16-10-2016,45.4265,46.4958,3.918934,46943
Oklahoma,18-10-2016,20-10-2016,28.32916,60.14592,3.931868,47238
Virginia,17-10-2016,18-10-2016,43.0226,41.85281,6.722593,47249
Indiana,22-10-2016,24-10-2016,37.70243,49.63599,4.7965,47342
Missouri,17-10-2016,19-10-2016,38.47355,47.26392,3.539457,47081
North Carolina,29-09-2016,10-02-2016,44.96199,44.88707,3.244338,46385
Iowa,10-03-2016,10-06-2016,39.68787,45.29969,3.510585,46562
New Hampshire,26-10-2016,28-10-2016,43.79832,42.98452,4.657977,47793
Alabama,25-10-2016,31-10-2016,33.73641,54.10242,2.46675,47883
Arkansas,25-10-2016,31-10-2016,37.72522,51.14244,2.46675,47886
Louisiana,19-10-2016,21-10-2016,34.87275,51.70419,3.424725,47531
Pennsylvania,10-07-2016,10-10-2016,47.52544,42.18987,4.049983,47173
South Dakota,24-10-2016,26-10-2016,34.4856,49.89109,6.402135,47873
Washington,10-06-2016,13-10-2016,51.3789,39.20037,,47628
Massachusetts,13-10-2016,16-10-2016,53.68673,31.45361,6.621108,47008
Oklahoma,25-10-2016,31-10-2016,29.72693,53.13631,9.466749,47919
Alaska,21-10-2016,26-10-2016,44.08011,43.85737,6.84151,47761
Hawaii,25-10-2016,31-10-2016,49.70946,31.1988,4.46675,47894
Pennsylvania,10-03-2016,10-06-2016,48.0417,39.66414,2.557987,46567
Ohio,17-10-2016,19-10-2016,44.65469,47.25517,1.960808,47094
Delaware,25-10-2016,31-10-2016,48.7235,37.14857,3.46675,47891
Ohio,10-05-2016,10-07-2016,46.50486,43.77117,4.347528,46571
Wisconsin,10-05-2016,10-07-2016,43.52856,40.8773,3.347528,46569
Florida,21-10-2016,23-10-2016,46.4776,44.02984,2.208402,47524
Idaho,25-10-2016,31-10-2016,29.71767,48.16943,7.46675,47895
Wisconsin,15-10-2016,18-10-2016,45.69044,41.73809,5.090873,47076
Ohio,10-07-2016,10-10-2016,44.5381,43.29323,4.049983,47172
Michigan,16-10-2016,19-10-2016,42.75185,39.2192,6.605309,47184
U.S.,10-10-2016,13-10-2016,47.3027,40.27811,4.22873,46868
Vermont,25-10-2016,31-10-2016,51.70619,24.21046,7.46675,47928
Nevada,14-10-2016,17-10-2016,45.72622,41.74498,6.001086,47032
Ohio,10-09-2016,10-11-2016,44.51923,39.05433,6.591003,46752
Kentucky,25-10-2016,31-10-2016,29.72481,57.14391,5.46675,47900
U.S.,15-10-2016,17-10-2016,45.80878,41.3288,3.190963,47054
Louisiana,25-10-2016,31-10-2016,36.73398,50.11112,2.46675,47901
Maine,25-10-2016,31-10-2016,47.70675,36.20846,3.46675,47902
Rhode Island,25-10-2016,31-10-2016,47.69971,35.23362,4.46675,47922
Indiana,10-07-2016,10-10-2016,37.52554,47.1907,7.049983,47171
Maine CD-2,20-10-2016,25-10-2016,42.57505,42.81375,5.353873,47774
South Dakota,18-10-2016,20-10-2016,35.39879,46.01273,6.010668,47343
Nebraska,25-10-2016,31-10-2016,30.71972,51.16212,7.46675,47910
Arkansas,21-10-2016,21-10-2016,31.55171,56.37258,3.138551,47322
Montana,25-10-2016,31-10-2016,34.71487,48.17945,8.466749,47909
Maine CD-1,24-10-2016,26-10-2016,45.61723,34.98907,7.695682,47998
U.S.,10-10-2016,10-11-2016,43.40927,40.58682,4.279817,46770
Oregon,10-04-2016,14-10-2016,46.2164,38.3807,3.203529,47071
Maine CD-1,20-10-2016,25-10-2016,53.55322,36.92638,3.353873,47773
Ohio,10-05-2016,10-06-2016,43.92278,44.78949,3.8724,46540
Nebraska CD-2,22-10-2016,24-10-2016,40.90631,48.06166,6.423684,47788
Georgia,20-10-2016,20-10-2016,45.10638,51.11841,1.16678,47167
Louisiana,15-10-2016,21-10-2016,34.8596,51.02677,4.956314,47768
Alaska,10-11-2016,13-10-2016,35.90143,41.54916,5.800428,46872
Oregon,10-06-2016,13-10-2016,44.58205,40.05672,4.588298,47015
Iowa,10-07-2016,10-10-2016,41.55764,41.45274,7.049983,47170
Nevada,10-11-2016,10-12-2016,45.1515,42.93629,7.384011,46785
New Hampshire,10-10-2016,10-12-2016,40.97172,41.53912,8.334057,46797
Maryland,27-09-2016,30-09-2016,62.545,27.98505,1.649931,46527
Wyoming,10-05-2016,10-11-2016,20.7208,59.93697,6.877967,47345
North Carolina,10-10-2016,10-12-2016,43.54048,43.59832,5.95136,46788
Arizona,10-10-2016,15-10-2016,43.15616,41.77341,4.505079,47061
Oregon,10-04-2016,10-04-2016,47.81702,40.89307,2.193432,46560
West Virginia,10-12-2016,17-10-2016,29.50584,59.20534,,47181
New Hampshire,10-07-2016,10-09-2016,45.17889,36.65459,,46774
Georgia,10-11-2016,10-12-2016,41.3778,49.8495,3.133347,46787
Maine CD-2,24-10-2016,26-10-2016,38.73541,42.90639,7.195682,47999
New Hampshire,10-11-2016,17-10-2016,48.87063,38.08738,6.421375,47089
Vermont,29-09-2016,14-10-2016,47.17089,21.70191,3.014014,47069
Wisconsin,18-10-2016,20-10-2016,47.42146,44.36462,3.051657,47463
Michigan,10-10-2016,10-11-2016,43.47557,34.46255,7.651839,46773
Indiana,10-10-2016,16-10-2016,37.02038,45.59868,7.302149,47070
Louisiana,10-11-2016,15-10-2016,39.20948,49.5823,2.444504,46878
Florida,20-10-2016,20-10-2016,47.97745,46.23028,1.36678,47166
Virginia,10-12-2016,15-10-2016,46.67683,39.51299,2.18723,47068
Utah,10-10-2016,10-12-2016,26.85464,35.49987,7.214797,46782
Illinois,13-10-2016,13-10-2016,49.22161,33.39106,4.416451,47098
District of Columbia,25-10-2016,31-10-2016,86.69962,3.233949,0.4667494,47890
Illinois,27-09-2016,10-02-2016,52.98969,31.91777,2.386975,46447
Pennsylvania,10-04-2016,10-09-2016,44.51331,42.79092,2.198,46737
Florida,16-10-2016,19-10-2016,46.38989,44.11649,2.769025,47177
West Virginia,25-10-2016,31-10-2016,25.71923,57.16384,3.46675,47931
Georgia,15-10-2016,18-10-2016,43.41778,46.02702,1.234994,47074
Ohio,21-09-2016,13-10-2016,42.28248,41.35201,3.821614,47084
California,25-10-2016,31-10-2016,51.21996,32.65026,6.0051,47945
Kentucky,10-12-2016,14-10-2016,34.67545,42.84457,3.509084,47047
Texas,25-10-2016,31-10-2016,36.48458,48.81374,7.235099,47985
North Carolina,10-10-2016,10-12-2016,44.79949,45.8353,4.609324,46781
Indiana,10-11-2016,13-10-2016,39.93858,46.79039,7.702041,46804
New York,25-10-2016,31-10-2016,47.25013,35.99962,4.7051,47975
Alaska,25-10-2016,31-10-2016,36.71379,45.18332,10.46675,47884
South Dakota,25-10-2016,31-10-2016,25.71697,52.17194,13.46675,47924
Florida,25-10-2016,31-10-2016,41.45237,49.89161,2.865099,47950
Illinois,25-10-2016,31-10-2016,47.61267,34.05053,6.655099,47955
U.S.,21-09-2016,24-09-2016,42.79428,44.8903,4.832564,46040
New Mexico,28-09-2016,10-02-2016,45.85792,34.16637,12.04392,46516
New Hampshire,10-07-2016,10-11-2016,45.74426,41.86177,6.78701,46798
Wisconsin,10-04-2016,10-04-2016,48.79116,41.80661,2.193432,46547
New Hampshire,17-10-2016,19-10-2016,43.4295,36.74574,8.539457,47079
California,10-07-2016,13-10-2016,59.39304,28.97984,2.377538,47782
Florida,10-12-2016,13-10-2016,45.3635,43.75661,4.342106,46814
Pennsylvania,27-09-2016,28-09-2016,45.64554,40.5389,4.352058,46291
New Jersey,25-10-2016,31-10-2016,43.48831,38.98614,5.315099,47972
North Dakota,25-10-2016,31-10-2016,29.71076,52.19415,9.466749,47917
Pennsylvania,25-10-2016,31-10-2016,41.81583,45.22926,3.765099,47979
Florida,27-09-2016,29-09-2016,45.99955,44.19342,4.514908,46303
Tennessee,14-10-2016,17-10-2016,35.13942,48.93215,4.742008,47093
Ohio,25-10-2016,31-10-2016,38.30159,41.17442,5.9551,47976
Tennessee,19-09-2016,10-02-2016,35.33206,48.33373,3.632502,46537
Nevada,10-10-2016,13-10-2016,42.98643,43.7723,3.063068,46816
Missouri,10-09-2016,10-11-2016,40.09431,47.83274,3.574145,46761
U.S.,27-09-2016,10-10-2016,46.39849,42.21442,6.015251,46802
Nevada,27-09-2016,10-02-2016,45.21104,43.31107,5.031559,46441
U.S.,10-05-2016,10-06-2016,45.98666,41.51434,3.449229,46544
Pennsylvania,17-10-2016,19-10-2016,44.47601,41.23695,2.539457,47080
Florida,21-10-2016,27-10-2016,47.61042,45.28074,,47720
California,21-10-2016,27-10-2016,63.88869,26.51664,,47716
Wisconsin,25-10-2016,31-10-2016,46.15722,34.50006,4.7851,47990
Indiana,25-10-2016,31-10-2016,41.41579,39.59938,5.725099,47956
U.S.,26-10-2016,29-10-2016,44.22542,43.99873,4.256183,47784
Virginia,27-09-2016,28-09-2016,46.656,41.55767,5.352058,46292
Minnesota,25-10-2016,31-10-2016,39.71648,34.3927,6.7551,47964
U.S.,28-09-2016,10-02-2016,47.2917,42.01054,3.955676,46386
Wyoming,25-10-2016,31-10-2016,20.71724,61.17097,7.46675,47933
Indiana,10-03-2016,10-05-2016,38.80628,46.80492,7.861376,46535
Utah,10-10-2016,10-11-2016,26.60161,30.21319,10.40113,46757
Ohio,10-03-2016,10-06-2016,43.79919,43.46788,5.652133,46563
Arizona,14-10-2016,14-10-2016,39.3652,40.26734,5.967001,46946
Missouri,25-10-2016,31-10-2016,42.27454,43.92387,3.355099,47965
North Carolina,25-10-2016,31-10-2016,39.35927,46.36697,4.765099,47968
Nebraska CD-2,25-09-2016,26-09-2016,38.62135,46.87498,,46231
Virginia,21-09-2016,23-09-2016,46.75452,38.43676,5.569018,46029
Florida,10-03-2016,10-05-2016,44.1607,44.73419,1.498562,46568
Washington,25-10-2016,31-10-2016,48.67224,32.51785,6.0851,47989
U.S.,26-09-2016,27-09-2016,45.51639,41.51708,4.331541,46172
Virginia,28-09-2016,10-02-2016,46.22269,35.02744,,46554
Colorado,10-12-2016,13-10-2016,39.40213,37.14172,10.36176,47055
Michigan,25-10-2016,31-10-2016,42.45037,40.69876,6.685099,47963
Virginia,25-10-2016,31-10-2016,43.68501,39.6322,5.225099,47987
Arizona,25-10-2016,31-10-2016,42.83902,38.68361,6.7051,47944
Rhode Island,10-02-2016,10-04-2016,52.7187,33.18674,2.463402,46525
Colorado,25-10-2016,31-10-2016,47.61501,33.71792,9.555099,47946
Alaska,10-05-2016,10-06-2016,35.35148,40.07154,8.590217,46556
U.S.,09-12-2016,25-09-2016,43.72398,37.47699,5.774858,46762
Texas,14-10-2016,23-10-2016,41.69025,46.24957,7.322947,47544
New York,21-09-2016,23-09-2016,52.31248,33.54544,2.847999,46157
U.S.,22-09-2016,25-09-2016,46.5942,43.64248,5.600378,46054
New Jersey,14-10-2016,27-10-2016,49.82453,35.29386,,47740
New Jersey,10-12-2016,16-10-2016,48.40523,37.56581,3.679824,47010
Georgia,25-10-2016,31-10-2016,37.88361,47.31145,4.805099,47951
Virginia,10-02-2016,10-06-2016,44.97071,39.92325,4.787673,46743
New Hampshire,10-03-2016,10-05-2016,44.7699,45.07323,3.956525,46534
Louisiana,27-09-2016,30-09-2016,34.73553,52.29141,,46945
Maryland,25-10-2016,31-10-2016,52.25542,30.93072,5.845099,47961
Missouri,21-09-2016,23-09-2016,38.76277,47.44693,3.569018,46028
Colorado,20-09-2016,25-09-2016,42.0593,41.98827,9.610222,46038
Texas,21-10-2016,27-10-2016,32.2752,48.22123,,47750
Colorado,27-09-2016,28-09-2016,46.78294,41.78557,4.352058,46288
Massachusetts,25-10-2016,31-10-2016,51.2297,30.54269,6.4151,47960
California,27-09-2016,28-09-2016,59.03139,34.05267,0.9246698,46297
New York,21-10-2016,27-10-2016,50.93743,30.85259,,47742
Arizona,10-02-2016,10-04-2016,44.55522,42.70431,6.463401,46524
Pennsylvania,20-09-2016,25-09-2016,45.87527,43.75259,2.610222,46037
North Carolina,10-01-2016,10-06-2016,43.94019,44.52021,4.762693,46631
U.S.,25-10-2016,28-10-2016,44.16802,44.26389,4.123102,47769
North Carolina,29-09-2016,10-03-2016,45.64097,44.90802,3.110243,46456
Ohio,21-10-2016,27-10-2016,43.21339,45.11589,,47744
Virginia,14-10-2016,27-10-2016,46.30208,39.52454,,47752
Alabama,25-10-2016,31-10-2016,25.34553,61.86457,3.285099,47942
Illinois,21-10-2016,27-10-2016,54.06509,34.65069,,47723
Oregon,25-10-2016,31-10-2016,42.54362,36.4229,8.875099,47978
Iowa,25-10-2016,31-10-2016,42.49505,35.9778,4.0351,47953
New Mexico,27-09-2016,29-09-2016,38.00177,34.16085,19.25713,46318
U.S.,10-05-2016,10-09-2016,46.66914,39.7374,,46741
Ohio,10-01-2016,10-04-2016,43.72299,43.85444,3.107633,46514
Tennessee,25-10-2016,31-10-2016,36.31443,48.05425,5.7951,47984
Idaho,28-09-2016,10-09-2016,30.07032,41.93176,7.801977,47056
Georgia,14-10-2016,27-10-2016,41.37171,47.95826,,47721
